Store,Customers,DayOfWeek,Open,Promo,Sales,SchoolHoliday,StateHoliday,AverageDailySales,AverageDailyCustomer,SalesPerCustomer,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,440523,3766,781,360,3716854,193,41,4759.096030729834,564.0499359795134,8.437366493917457,c,a,1270.0,9.0,2008.0,0,,,
2,457855,3766,784,360,3883858,167,39,4953.900510204082,583.9987244897959,8.482724880147645,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,584310,3766,779,360,5408261,170,43,6942.568677792041,750.0770218228498,9.255807704814226,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
4,1036254,3766,784,360,7556507,173,38,9638.401785714286,1321.7525510204082,7.292137834932362,c,c,620.0,9.0,2009.0,0,,,
5,418588,3766,779,360,3642818,172,45,4676.274711168165,537.3401797175867,8.702633615870498,a,a,29910.0,4.0,2015.0,0,,,
6,495483,3766,780,360,4297758,172,45,5509.946153846154,635.2346153846154,8.673875793922294,a,a,310.0,12.0,2013.0,0,,,
7,745569,3766,786,360,6930202,159,38,8817.050890585242,948.5610687022901,9.295185288014926,a,c,24000.0,4.0,2013.0,0,,,
8,516027,3766,784,360,4342857,159,38,5539.3584183673465,658.1977040816327,8.415949165450645,a,a,7520.0,10.0,2014.0,0,,,
9,451677,3766,779,360,5112061,170,43,6562.337612323492,579.8164313222079,11.317957301345873,a,c,2030.0,8.0,2000.0,0,,,
10,465661,3766,784,360,4365642,209,38,5568.4209183673465,593.9553571428571,9.37515059238373,a,a,3160.0,9.0,2009.0,0,,,
11,885992,3766,784,360,6296286,159,38,8030.977040816327,1130.091836734694,7.106481774101797,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
12,703211,3766,784,360,5950245,159,38,7589.598214285715,896.952806122449,8.461535726830212,a,c,1070.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
13,237740,3033,621,286,3126578,124,39,5034.747181964573,382.8341384863124,13.151249263901741,d,a,310.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
14,491913,3766,779,360,4291174,170,43,5508.567394094994,631.4672657252888,8.723440933661033,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,520107,3766,784,360,5231510,159,38,6672.844387755102,663.4017857142857,10.058526418602327,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,662375,3766,777,360,5967891,155,46,7680.683397683398,852.4774774774775,9.009837327797698,a,c,3270.0,,,0,,,
17,619090,3766,782,360,4954488,167,39,6335.6624040920715,791.6751918158568,8.00285580448723,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,557785,3766,782,360,5130137,167,39,6560.277493606138,713.2800511508951,9.197337683874611,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,486618,3766,779,360,5036169,170,43,6464.915275994866,624.6700898587933,10.349327398493275,a,c,3240.0,,,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,525258,3033,619,286,4801543,124,39,7756.9353796445885,848.5589660743134,9.141303892563274,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,401213,3766,777,360,4259763,155,46,5482.320463320463,516.3616473616473,10.61721080822406,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
22,312129,3033,619,286,2801506,124,39,4525.857835218094,504.2471728594507,8.975474883782026,a,a,1040.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
23,375818,3766,779,360,4300299,150,43,5520.281129653402,482.43645699614893,11.442504084423843,d,a,4060.0,8.0,2005.0,0,,,
24,650800,3766,779,360,7313475,170,43,9388.28626444159,835.4300385109115,11.237669022741242,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
25,1177772,3766,752,360,8376557,170,43,11139.038563829787,1566.186170212766,7.112205927802664,c,a,430.0,4.0,2003.0,0,,,
26,434849,3766,782,360,5217266,167,39,6671.695652173913,556.0728900255755,11.99787972376618,d,a,2300.0,,,0,,,
27,837237,3766,779,360,7383809,170,43,9478.57381258023,1074.7586649550706,8.819257868441074,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
28,448196,3766,771,360,4080950,168,43,5293.060959792478,581.3177691309987,9.105279832930236,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec"
29,509233,3766,779,360,5737160,170,43,7364.775353016688,653.7008985879332,11.266276930206802,d,c,2170.0,,,0,,,
30,603828,3766,777,360,4114046,170,43,5294.782496782497,777.1274131274131,6.813274641122969,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
