Store,Customers,DayOfWeek,Open,Promo,Sales,SchoolHoliday,StateHoliday,AverageDailySales,AverageDailyCustomer,SalesPerCustomer
262,3204694,3766,942,360,19516842,169,24,20718.51592356688,3402.0106157112527,6.09007973928244
817,2454370,3766,784,360,17057867,173,24,21757.48341836735,3130.5739795918366,6.949998166535608
562,2924960,3766,942,360,16927322,209,24,17969.55626326964,3105.0530785562632,5.787197773644768
1114,2509542,3766,784,360,16202585,169,24,20666.5625,3200.9464285714284,6.456391245892677
251,1908934,3766,779,360,14896870,170,29,19123.068035943517,2450.4929396662387,7.803763776013209
513,1643527,3766,784,360,14252406,173,24,18179.089285714286,2096.3354591836733,8.671841716016834
788,1346835,3766,784,360,14082141,173,24,17961.914540816328,1717.9017857142858,10.455728429985855
733,3206058,3766,942,360,14067158,170,29,14933.288747346072,3403.458598726115,4.387680447452916
383,1720249,3766,780,360,13489879,193,27,17294.716666666667,2205.4474358974358,7.841817667093543
756,1827980,3766,779,360,12911782,170,29,16574.816431322208,2346.5725288831836,7.063415354653771
335,2246936,3766,942,360,12541731,170,29,13313.93949044586,2385.2823779193204,5.581703706736641
698,1518304,3766,784,360,12202270,173,24,15564.119897959185,1936.6122448979593,8.036776561215673
523,1397803,3766,784,360,12175995,173,24,15530.605867346938,1782.9119897959183,8.710809033891042
595,1382516,3766,784,360,11774982,173,24,15019.109693877552,1763.4132653061224,8.517067433577623
586,1832458,3766,776,360,11742401,170,29,15131.960051546392,2361.4149484536083,6.40800553136825
320,1617489,3766,784,360,11630218,159,24,14834.461734693878,2063.123724489796,7.190291865972505
842,714829,3033,622,286,11553523,124,29,18574.79581993569,1149.242765273312,16.162638896855054
380,1075375,3766,779,360,11261676,170,29,14456.580231065469,1380.4557124518615,10.472324537951877
544,1439156,3766,780,360,10993709,172,31,14094.498717948718,1845.071794871795,7.63899744016632
1033,1018597,3766,784,360,10870270,173,24,13865.140306122448,1299.2308673469388,10.671806416080157
259,2210980,3766,932,360,10851871,193,27,11643.638412017168,2372.296137339056,4.908172394141964
336,1529043,3766,780,360,10850316,193,27,13910.661538461538,1960.3115384615385,7.0961483751601495
546,1271083,3766,784,360,10726323,173,24,13681.53443877551,1621.279336734694,8.438727447381485
682,1656830,3766,942,360,10557379,173,24,11207.408704883228,1758.8428874734607,6.37203515146394
467,1257034,3766,779,360,10501035,170,29,13480.147625160462,1613.6508344030808,8.353819387542421
423,1776735,3766,942,360,10200356,173,24,10828.403397027601,1886.1305732484077,5.741067745049206
769,2902351,3766,942,360,10198000,170,29,10825.902335456476,3081.052016985138,3.51370320130129
211,1164871,3766,784,360,10187567,173,24,12994.345663265307,1485.8048469387754,8.745661107538947
768,1054827,3766,784,360,10185601,159,24,12991.838010204081,1345.4426020408164,9.656181534981565
470,1377377,3766,776,360,10174712,170,29,13111.742268041236,1774.9703608247423,7.387020401821723
560,1225287,3766,747,360,10168806,173,24,13612.859437751003,1640.2771084337348,8.299121756780249
84,1084610,3766,779,360,10092722,170,29,12955.997432605905,1392.3106546854942,9.30539272180784
